date	code Article | n°OF | N°Panne | Composant Concerné | Commentaire 

2024-05-23 11:54:39	356483353 | 14983873 | 85 | 944 | 3301181
2024-05-23 11:54:39	514680960 | 89556 | 97 | 8 | 776776352592740233722837497544704
2024-05-23 11:54:39	313296809 | 804805 | 60 | 6527 | 419413518888918206298875171587190724497088502710075538523900239663074231939093233664
2024-05-23 11:54:39	154014294 | 2272477 | 44 | 978 | 691811608492775111172893305782383307025528589866282651504406394726815404137606105671689335472128
2024-05-23 11:54:39	627537854 | 11706985 | 80 | 57 | 5239382205370183
2024-05-23 11:54:39	277510374 | 8077 | 11 | 25 | 18823350880490264380053048116807752289485620095994347014531921215626216906464602095616
2024-05-23 11:54:39	501469884 | 3298 | 37 | 8 | 133737780431846462050138237587178338870682796660868775936
2024-05-23 11:54:39	684881756 | 16852 | 81 | 4166 | 3447145989125777792507576320
2024-05-23 11:54:39	904350771 | 63679553 | 99 | 3921 | 6594185
2024-05-23 11:54:39	145143930 | 8799671 | 71 | 5 | 71930765317117784779328683026330650384265117696
2024-05-23 11:54:39	332500921 | 74699465 | 59 | 87 | 6519452635
2024-05-23 11:54:39	636382996 | 6087871 | 51 | 9 | 85070634658612592640
2024-05-23 11:54:39	865869760 | 41131 | 17 | 568 | 248824118354028208848896
2024-05-23 11:54:39	667661750 | 7177 | 42 | 13 | 1065497
2024-05-23 11:54:39	163770240 | 2578077 | 34 | 7 | 8718472929052795772752725300389720621056
2024-05-23 11:54:39	683501588 | 3610 | 10 | 7108 | 363708887706
2024-05-23 11:54:39	240867861 | 3069 | 11 | 48 | 81175166953860130483435985613678693570108936455281681315762653888512
2024-05-23 11:54:39	737217550 | 90136 | 43 | 1 | 15424350664929565047524227306583798833891728097526455481664953990324321302619466101686272
2024-05-23 11:54:39	186353864 | 99354 | 15 | 1130 | 250146732960767521623229887904299711672540329647797236062903365899448100366138375675107173345651589120
2024-05-23 11:54:39	805094059 | 539270 | 30 | 9 | 1290175
2024-05-23 11:54:39	844512068 | 945245 | 90 | 3 | 27527506198886688
2024-05-23 11:54:39	974107072 | 9145 | 15 | 5581 | 2855146268855224133209829118976904488654322370871296
2024-05-23 11:54:39	113241479 | 36449679 | 47 | 4449 | 15221162218079163876080311702123772895346805564007763809047895584276480
2024-05-23 11:54:39	790306245 | 98491266 | 24 | 985 | 100062419018756022517992570892645431154299394601626424182917203102092440371200
2024-05-23 11:54:39	495415164 | 56049822 | 43 | 3570 | 2546300879083426955093306665191955012392121693896704
2024-05-23 11:54:39	905649021 | 93190800 | 11 | 623 | 273508264
2024-05-23 11:54:39	218115037 | 71450146 | 92 | 226 | 23865532404860474378296492032
2024-05-23 11:54:39	756729809 | 9449973 | 23 | 11 | 6512481433819463452710666240
2024-05-23 11:54:39	810074698 | 16998048 | 15 | 411 | 54751067523511053822910493532417793683485918271026304622740373504
2024-05-23 11:54:39	960104471 | 7680658 | 18 | 33 | 558811381982625420616321287443323403927600234496
2024-05-23 11:54:39	980137392 | 6256 | 67 | 8 | 29891713362288488179112717126940213368027732203139390380714313584163489767406073052321070498552217600
2024-05-23 11:54:39	895254047 | 19334 | 74 | 2 | 9686534334042892591629299308456604692341850112
2024-05-23 11:54:39	174192298 | 9563 | 12 | 7 | 1325613630802147285637984002090732836664636076229193624025300992
2024-05-23 11:54:39	480370363 | 1456899 | 19 | 18 | 93293285
2024-05-23 11:54:39	665020049 | 31448720 | 60 | 25 | 7869666169802304512
2024-05-23 11:54:39	430459100 | 20312979 | 49 | 780 | 16989073554956496713772274974008262178166199748786785175993293236910752607534253329228568199168
2024-05-23 11:54:39	135688266 | 8921588 | 86 | 8410 | 756848116056116224
2024-05-23 11:54:39	425702409 | 51661 | 68 | 98 | 794959510288059437269251383668239243391000144510976
2024-05-23 11:54:39	421172777 | 10926789 | 44 | 491 | 241226978074733235099002016467108565066524413496125376430080
2024-05-23 11:54:39	892984092 | 676943 | 12 | 685 | 26776142478757552370896512681037630487150075115424582018469820354848011963549851314653193306112
2024-05-23 11:54:39	872326076 | 4254 | 81 | 8300 | 867489582857884852137873493678851828482048
2024-05-23 11:54:39	735413149 | 517748 | 37 | 545 | 4180822185142524855349801500358527017694154848980822752751272353755788151588697145344
2024-05-23 11:54:39	291468024 | 802420 | 29 | 12 | 9308969409729082357313651785463646072815843868836869577330178032679256064
2024-05-23 11:54:39	886177871 | 791036 | 38 | 4261 | 61633276852678856954951451278751292538748928
2024-05-23 11:54:39	328491875 | 5779 | 27 | 98 | 3467057323606406341869437631830126171743752160074550688008372224
2024-05-23 11:54:39	378067452 | 419366 | 64 | 506 | 739477
2024-05-23 11:54:39	787281360 | 11113 | 44 | 1 | 4178406250280124981528394087792640
2024-05-23 11:54:39	245363985 | 44412356 | 15 | 5 | 81695715418148524910033502208
2024-05-23 11:54:39	633239348 | 1317 | 73 | 1405 | 374684
2024-05-23 11:54:39	243036195 | 8305475 | 72 | 13 | 21286299349054651654122635096373476078464006094848
2024-05-23 11:54:39	290846644 | 6673 | 73 | 4 | 7804336807735311545665463373789048688112033948995284659462200103557253929134729253410062729216
2024-05-23 11:54:39	688460915 | 15050 | 86 | 2130 | 7121196971161899237396391814197318279746775462919012352
2024-05-23 11:54:39	829268535 | 55276 | 18 | 11 | 2652022665099211702196749859760947769509209212478413820919808
2024-05-23 11:54:39	970511352 | 11945 | 80 | 774 | 39159710611148201669382791766883696640
2024-05-23 11:54:39	377199813 | 99625888 | 49 | 224 | 84398714743029808362371857872466381991937841744865709411726321693153860517888
2024-05-23 11:54:39	788466215 | 9891 | 95 | 7 | 7754535273780113373742262316138405924525307854848
2024-05-23 11:54:39	149050079 | 83985 | 62 | 344 | 2464292838049526297846561123308787841463456693596717056
2024-05-23 11:54:39	233329027 | 1646607 | 79 | 6 | 9951962902511858269266503658723604299555144728576
2024-05-23 11:54:39	162004257 | 1086041 | 14 | 4767 | 5630785067947185800403704324018532511518987606629088535192272896
2024-05-23 11:54:39	160410324 | 95354 | 21 | 930 | 894460538268710056251250848768720896
2024-05-23 11:54:39	821438565 | 635896 | 96 | 3 | 32084314931355167476294170780631024587794406376915898102134159145529493618569166379503155412992
2024-05-23 11:54:39	691515952 | 1582718 | 95 | 4401 | 818015639717943103170148976956538880
2024-05-23 11:54:39	939880164 | 4824151 | 19 | 723 | 434070941780651215666834135556170519359501893632
2024-05-23 11:54:39	560559656 | 36858 | 44 | 19 | 24525489278690037300547257060619939888630533525126991139911709866472767488
2024-05-23 11:54:39	206758892 | 2363 | 26 | 4 | 1021265457372992806977430229980595557910545414348232883961856
2024-05-23 11:54:39	375495275 | 71516 | 59 | 80 | 35340
2024-05-23 11:54:39	737978943 | 16164 | 41 | 6259 | 31102453341504481001472
2024-05-23 11:54:39	193526936 | 6713 | 78 | 179 | 1012905472307746832384
2024-05-23 11:54:39	557656115 | 534187 | 20 | 51 | 5158944537072062464
2024-05-23 11:54:39	845551437 | 327245 | 80 | 7 | 12731346722595866624
2024-05-23 11:54:39	419132110 | 5207783 | 23 | 99 | 232679573784184209164674753197830826835892919578162729493382438326468148723712
2024-05-23 11:54:39	299723690 | 61353333 | 66 | 172 | 796629467236732211043358491889631232
2024-05-23 11:54:39	977848442 | 40088 | 33 | 6589 | 9834672154379857827772793894135245603017147604223550891313331144241039202613283771180384256
2024-05-23 11:54:39	652653471 | 7628149 | 62 | 800 | 10501204855801850837915133234118656
2024-05-23 11:54:39	659935663 | 129688 | 78 | 73 | 218922
2024-05-23 11:54:39	380478643 | 1908034 | 22 | 5972 | 14958975139853758885624393246964760740741622229587677629382656
2024-05-23 11:54:39	527373982 | 592578 | 96 | 2696 | 721877463302489600
2024-05-23 11:54:39	107701728 | 65606013 | 82 | 4065 | 44530047586200402048942615487830525214720
2024-05-23 11:54:39	820778173 | 88061 | 40 | 3 | 6613902884376771683753683533844815699168142316533230922985635840
2024-05-23 11:54:39	915826715 | 61506 | 82 | 67 | 3765556854933618175720551446491407168721915127521966573005614088192
2024-05-23 11:54:39	186512202 | 810581 | 43 | 951 | 176154507359648902830727755198365696
2024-05-23 11:54:39	979791549 | 427732 | 57 | 385 | 43549912659573553087918801142018466662425773945859599423170074243336045208179916668928
2024-05-23 11:54:39	725002041 | 3984607 | 78 | 6 | 1620030163850572173088819249656990486894012802831220736
2024-05-23 11:54:39	768721054 | 7219125 | 28 | 54 | 92946325430130733912069843556060758105035643356072019565571277634666496
2024-05-23 11:54:39	561240820 | 12521592 | 88 | 165 | 403525
2024-05-23 11:54:39	562009093 | 47720 | 58 | 1224 | 70587814218359270018098397005359898154382872605487929537237087255681086301409651168641024
2024-05-23 11:54:39	276318303 | 796336 | 64 | 1721 | 713705743172248354840802102704473187688216681568063915179928908577540983126010364410031497740275417088
2024-05-23 11:54:39	184850019 | 8977 | 18 | 7 | 6373113841128075679481817458599614099622751395901258171303860611053971832832000
2024-05-23 11:54:39	774142982 | 96271 | 99 | 6 | 2507852580320424
2024-05-23 11:54:39	806105693 | 82090 | 15 | 9313 | 21259215
2024-05-23 11:54:39	770844256 | 81372753 | 40 | 54 | 188728112166934310686757606241400861543417537407389067654200734863515469178735156843342788161664188416
2024-05-23 11:54:39	912707045 | 8453232 | 75 | 4036 | 58854690387803672820557220795174545784832
2024-05-23 11:54:39	466515398 | 11689186 | 19 | 1681 | 600495120012290033591812140037239209984
2024-05-23 11:54:39	999798156 | 69396645 | 99 | 74 | 599525683073652029310784982706188688814655200559104
2024-05-23 11:54:39	774534529 | 915969 | 88 | 9838 | 59163903816260951626925390763242108208225204601910270560997212160
2024-05-23 11:54:39	703038218 | 1908208 | 86 | 23 | 324784280947511949575967952781532547845092044636983456673717557024209764352
2024-05-23 11:54:39	117355905 | 8036039 | 98 | 2 | 92750687703969877181247791136191283200
2024-05-23 11:54:39	269415992 | 8421771 | 82 | 5 | 61431690
2024-05-23 11:54:39	130799210 | 7585 | 63 | 920 | 733024324381600196168562794300741657938957371965440
2024-05-23 11:54:39	201543167 | 5827951 | 37 | 6 | 726467070293685520093615406792833951416811577036763037696
2024-05-23 11:54:39	632183280 | 78675388 | 64 | 7631 | 31936443153879477700992240147665065019965440
2024-05-23 11:54:39	513593834 | 3970008 | 52 | 16 | 997713726946574753463193585784218504153654008157869209000074976390114707553620860554182656
2024-05-23 11:54:39	140736732 | 9936 | 16 | 71 | 51338205592976501809547837440000
