NOOF	NART
0F810212	623393-37
0F728189	P01126504A
0F857908	P01103076A
0F880138	P01160595A
0F550461	693467B01
0F972519	P01138902A
0F972514	P01127014A
0C221178	01NC4564
0C220129	818390E9300
0C220139	818390E9300
0F554040	P01138901
0V302391	P01101942
0M309449	P01680010
0V311928	671326A92
0V315009	P01101942
0F174994	HX0031
0F117978	P01196813
0M315823	P01654550
0F167229	F00157A00
0F259678	P01196803
0F481912	HX0130
0M318771	P01126505
0M317328	HX0031
0R314132	F00390A00
0F707058	P01103076A
0R316712	P32100200
0R319936	P01145811
0M320577	P01157155A
0F230924	P01120083R
0F469642	HX0033
0F462441	HX0030C
0V320019	EVVA4151
0F100733	N02024B00
0F045163	P01651010
0F638211	X04839C00
0F569972	X04839C00
0F950792	X04509L00
0F257163	694339B00
0T315854	TRAVAUXINTE~1
0T315855	TRAVAUXINTE~1
0M314244	MTX1050-PC
0F104755	694594F00
0F100992	X03669C00
0C221237	01NC9961D
0F157722	693991F01
0F231746	P01103076
0R322667	P32200200
0C221476	01NC4959X
0F468121	P01651010
0F470050	P01103076A
0F470076	P01120027
0F472902	GX320
0F584363	692556A00
0F601336	P01103076
0F616939	RC905009
0V323395	687739A76D
0F627754	693991F00
0C149326	LA08699-999
0C149745	01NC9961P
0Y372563	L012147-001
0M322218	LNT1999-999
0Y355888	LEL1095-013
0Y368938	LEL0419-000
0Y362893	LEL2173-007
0Y366175	LEL0336-000
0Y366164	L955905-001
0C149292	L810690-101
0C147127	L965991-001
0C147126	L966619-003
0C147129	L966619-008
0C149175	L810745-001
0C135621	01NC9961MFP
0C135623	01NC9961MFP
0C138734	01NC9968S1
0M305045	01NC9961MFP
0M305367	01NC9961MFP
0C142201	01NC9961MFP
0C143871	01NC9961MFP
0C145205	01NC9965W
0C145634	01NC9961MFP
0C145339	01NC9966P
0C145340	01NC9968S1
0C146344	01NC9961MFP
0C146343	01NC9961MFP
0C146571	01NC9961P
0C146969	01NC9965W
0M315425	LET1004-011
0M315426	LET1004-012
0C147540	01NC9961P
0C146268	01NC9961P
0C146272	01NC9961P
0M316358	LXF-QSOUD019
0M316361	LXF-QSOUD134
0M317009	LNT1999-999
0C147508	01NC9968S1
0M318101	LNT1999-999
0C145447	01NC9966P
0C148022	LNT1999-999
0M306034	LQUALAP-999
0C147860	01NC9968S1
0Y345864	L061409-110T
0C148989	LA08699-999
0M319991	LNT1999-999
0C148985	01NC6994-CAP
0M320637	LNT1999-999
0M321101	LXF-QSOUD134
0M320775	LNT1999-999
0M321087	LEL2117-000
0C141262	L966453-010
0C149277	01NC9966P
0M321057	LXF-QSOUD017
0M321122	LXF-QSOUD130
0T301617	LXOUTIL-P60
0M321088	LXF-QSOUD035
0M321326	LXF-AFFINAGE
0M321140	LXF-QSOUD129
0M321039	LXF-QSOUD188
0M321043	LXF-QSOUD190
0M321044	LXF-QSOUD195
0M321047	LXF-QSOUD192
0M321049	LXF-QSOUD194
0M321052	LXF-QSOUD193
0M321054	LXF-QSOUD196
0M321058	LXF-QSOUD019
0Y362716	L028161-000T
0Y290637	L850371-001
0M321583	L028161-000T
0M321682	LNT1999-999
0M318883	LET1032-000
0Y325940	LEL2174-000
0M319705	L959858-001
0C142233	L810690-101
0M318759	ARTICLEST
0M318760	ARTICLEST
0M318761	ARTICLEST
0C139192	LQUALAP-999
0M322821	LEL2244-008
01000084	P01140822
01000098	693936D00
0C218610	01NC5500J
0C218609	01NC5500J
0C147114	LQUALAP-999
0C147559	LNT1999-999
0C147763	LNT1999-999
0C149158	LNT1000-999
0C146296	LNT1999-999
01000469	LXF-QSOUD133
01000475	687740A76B
01000476	687740A76D
01000479	687740A76J
01000482	687740A76N
01000484	687740A76Q
01000485	687740A76S
01000486	687740A76U
01000487	687740A76X
01000494	687742A76A
